Sl No,Station_Name,Category,Lat,Lng
118,Tampines East,MRT,1.35631,103.955471
119,Upper Changi,MRT,1.342218,103.961505
120,South View,LRT,1.380299,103.745286
121,Keat Hong,LRT,1.378604,103.749058
122,Teck Whye,LRT,1.376738,103.753665
123,Phoenix,LRT,1.378798,103.758021
124,Senja,LRT,1.382852,103.762312
125,Jelapang,LRT,1.386703,103.764547
126,Segar,LRT,1.387713,103.769599
127,Fajar,LRT,1.384502,103.770862
128,Bangkit,LRT,1.380281,103.772576
129,Pending,LRT,1.376223,103.771277
130,Petir,LRT,1.377828,103.76655
131,Compassvale,LRT,1.394615,103.900443
132,Rumbia,LRT,1.391553,103.905947
133,Bakau,LRT,1.38804,103.905412
134,Kangkar,LRT,1.383957,103.90216
135,Ranggung,LRT,1.384116,103.897386
136,Cheng Lim,LRT,1.396332,103.89379
137,Farmway,LRT,1.397178,103.889168
138,Kupang,LRT,1.398271,103.881283
139,Thanggam,LRT,1.397378,103.87561
140,Fernvale,LRT,1.392033,103.876256
141,Layar,LRT,1.392141,103.880022
142,Tongkang,LRT,1.389519,103.885829
143,Renjong,LRT,1.386827,103.890541
144,Cove,LRT,1.399534,103.905792
145,Meridian,LRT,1.397002,103.908884
146,Coral Edge,LRT,1.39392,103.912633
147,Riviera,LRT,1.39454,103.916056
148,Kadaloor,LRT,1.399633,103.916536
149,Oasis,LRT,1.402304,103.912736
150,Damai,LRT,1.405293,103.908606
151,Sam Kee,LRT,1.409808,103.90492
152,Teck Lee,LRT,1.412783,103.906565
153,Punggol Point,LRT,1.416932,103.90668
154,Samudera,LRT,1.415955,103.902185
155,Nibong,LRT,1.411865,103.900321
156,Sumang,LRT,1.408501,103.898605
157,Soo Teck,LRT,1.405436,103.897287
